City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;American Indian and Alaska Native;2993
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;White;123174
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;American Indian and Alaska Native;4520
Newport Beach;California;46.8;43161;43970;87131;4847;15318;2.4;CA;Hispanic or Latino;8127
Fall River;Massachusetts;39.3;43314;45456;88770;4143;14775;2.21;MA;Asian;1891
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;Hispanic or Latino;2738
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;American Indian and Alaska Native;1602
Schenectady;New York;36.7;32398;32901;65299;3388;10961;2.82;NY;Asian;5140
Saint Paul;Minnesota;31.5;149547;151293;300840;10548;56514;2.58;MN;Asian;58174
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;American Indian and Alaska Native;17500
Murfreesboro;Tennessee;30.2;60704;65417;126121;5199;8948;2.6;TN;Hispanic or Latino;8840
Pearland;Texas;33.9;52336;59329;111665;5621;16882;3.0;TX;Hispanic or Latino;26460
South Gate;California;32.5;47758;48641;96399;724;40571;3.97;CA;White;55444
South Gate;California;32.5;47758;48641;96399;724;40571;3.97;CA;Black or African-American;1615
Racine;Wisconsin;33.7;39314;38423;77737;4650;4403;2.56;WI;Hispanic or Latino;18215
Virginia Beach;Virginia;35.4;222684;230061;452745;54995;38360;2.61;VA;American Indian and Alaska Native;4590
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;Asian;1589
Tracy;California;35.5;43156;43937;87093;3025;25410;3.42;CA;White;58041
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;Black or African-American;9078
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;American Indian and Alaska Native;496
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;Asian;9165
Inglewood;California;34.9;52995;58661;111656;2703;34171;3.12;CA;American Indian and Alaska Native;1395
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;White;41431
New Haven;Connecticut;29.9;63765;66545;130310;2567;25871;2.48;CT;Asian;7966
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;Black or African-American;5365
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;Black or African-American;43471
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;American Indian and Alaska Native;1057
Napa;California;37.2;39828;40601;80429;4678;18449;2.84;CA;Asian;3593
Centennial;Colorado;42.4;53222;56504;109726;7226;9501;2.66;CO;Black or African-American;4005
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;Black or African-American;33951
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;White;40757
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;Black or African-American;9221
Tucson;Arizona;33.6;264893;266781;531674;38182;82220;2.45;AZ;White;404342
Westminster;California;42.9;45538;46573;92111;3435;42227;3.27;CA;American Indian and Alaska Native;1022
Columbia;Maryland;37.9;52202;51265;103467;6526;23249;2.68;MD;Hispanic or Latino;8033
Columbia;Maryland;37.9;52202;51265;103467;6526;23249;2.68;MD;Asian;17821
Fullerton;California;34.5;69549;71300;140849;5394;43404;2.97;CA;American Indian and Alaska Native;1668
Lake Forest;California;40.3;41515;40982;82497;3748;20784;2.76;CA;White;59846
Stockton;California;32.5;150976;154674;305650;12822;79583;3.16;CA;Asian;76859
Carrollton;Texas;36.9;66928;66218;133146;5720;35327;2.78;TX;Black or African-American;10923
Cedar Park;Texas;34.4;31248;33589;64837;3090;5207;3.05;TX;Black or African-American;3667
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;White;1240092
Orem;Utah;26.1;48695;45762;94457;2828;12808;3.26;UT;White;85512
Chandler;Arizona;35.6;128885;131948;260833;15870;38721;2.78;AZ;American Indian and Alaska Native;6601
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;White;106409
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;Black or African-American;6620
Youngs;Ohio;37.5;30758;33851;64609;3620;1058;2.22;OH;American Indian and Alaska Native;875
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;American Indian and Alaska Native;961
Erie;Pennsylvania;35.3;48618;50852;99470;7093;6275;2.31;PA;American Indian and Alaska Native;913
Mountain View;California;33.5;42493;37945;80438;1376;31857;2.46;CA;American Indian and Alaska Native;577
Hayward;California;34.3;78152;80148;158300;4385;60970;3.32;CA;Hispanic or Latino;64880
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;Asian;14636
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;Black or African-American;11671
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;Asian;13981
Lakewood;California;39.9;41523;40069;81592;4094;18274;3.13;CA;American Indian and Alaska Native;398
Miramar;Florida;36.6;66157;70958;137115;3077;57179;3.41;FL;Asian;12084
Lorain;Ohio;35.6;30844;32807;63651;4905;1531;2.52;OH;Asian;308
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;White;85130
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;Black or African-American;35550
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;White;80776
Delray Beach;Florida;47.9;32219;34042;66261;4232;16639;2.35;FL;Asian;1696
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;Hispanic or Latino;2971
Newport News;Virginia;32.8;88385;94000;182385;18896;12589;2.46;VA;Black or African-American;79245
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;Hispanic or Latino;39271
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;American Indian and Alaska Native;313
Denton;Texas;28.7;62478;68569;131047;6352;18451;2.66;TX;Hispanic or Latino;29350
Lafayette;Louisiana;31.7;64018;63643;127661;5206;5396;2.54;LA;Hispanic or Latino;6556
Alafaya;Florida;33.5;39504;45760;85264;4176;15842;2.94;FL;Hispanic or Latino;34897
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;Hispanic or Latino;23576
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;American Indian and Alaska Native;2084
Federal Way;Washington;36.4;49151;46037;95188;7135;18565;2.68;WA;American Indian and Alaska Native;2396
Jacksonville;Florida;35.7;419203;448828;868031;75432;85650;2.62;FL;White;543582
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;Black or African-American;11781
Gainesville;Florida;26.0;60803;69330;130133;4788;15272;2.33;FL;American Indian and Alaska Native;740
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Asian;20082
Deltona;Florida;39.9;44853;43621;88474;5664;7098;2.89;FL;Black or African-American;12056
Waterloo;Iowa;37.2;34488;33969;68457;4800;5082;2.42;IA;Asian;1636
Jersey City;New Jersey;34.3;131765;132512;264277;4374;109186;2.57;NJ;Hispanic or Latino;79718
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;Asian;6228
Tuscaloosa;Alabama;29.1;47293;51045;98338;3647;4706;2.67;AL;Hispanic or Latino;2475
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;Hispanic or Latino;136214
West Covina;California;39.8;51629;56860;108489;3800;37038;3.56;CA;American Indian and Alaska Native;518
Lincoln;Nebraska;32.3;138544;138802;277346;14694;22958;2.4;NE;American Indian and Alaska Native;4281
Mission Viejo;California;44.9;48849;48314;97163;4713;17308;2.85;CA;White;81186
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;White;57435
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;Black or African-American;3985
Dale City;Virginia;33.4;35984;35415;71399;6085;22306;3.65;VA;Asian;9251
Rockford;Illinois;36.3;71076;78270;149346;8894;18323;2.52;IL;American Indian and Alaska Native;2301
Tampa;Florida;35.3;175517;193511;369028;20636;58795;2.47;FL;American Indian and Alaska Native;2915
Racine;Wisconsin;33.7;39314;38423;77737;4650;4403;2.56;WI;Asian;1175
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;Black or African-American;13372
Champaign;Illinois;28.7;43326;42760;86086;3734;12261;2.25;IL;Asian;11746
Marysville;Washington;33.2;33436;33337;66773;5714;7721;2.79;WA;White;58894
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;Hispanic or Latino;19525
Homestead;Florida;31.4;31401;35099;66500;2287;24408;3.48;FL;White;48820
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;White;411847
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;Black or African-American;1049
Pueblo;Colorado;37.6;55635;53784;109419;7989;3578;2.44;CO;Asian;2468
Raleigh;North Carolina;32.8;219184;232765;451949;16747;65125;2.42;NC;White;275892
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;Black or African-American;147739
Plano;Texas;38.1;138565;145054;283619;11719;74030;2.65;TX;Hispanic or Latino;42959
Plano;Texas;38.1;138565;145054;283619;11719;74030;2.65;TX;White;195220
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;White;72728
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;Black or African-American;26156
Hesperia;California;29.4;43588;49698;93286;3739;16667;3.52;CA;White;78718
Temecula;California;34.2;54407;57619;112026;7587;18884;3.34;CA;American Indian and Alaska Native;2236
Boynton Beach;Florida;45.8;33701;40271;73972;4727;15431;2.45;FL;Asian;2114
Jackson;Tennessee;35.3;30007;36973;66980;3529;2097;2.52;TN;American Indian and Alaska Native;564
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;Hispanic or Latino;18733
Tucson;Arizona;33.6;264893;266781;531674;38182;82220;2.45;AZ;Black or African-American;33900
Westminster;California;42.9;45538;46573;92111;3435;42227;3.27;CA;Hispanic or Latino;19111
Lehigh Acres;Florida;34.3;57856;61624;119480;5551;31880;3.55;FL;Black or African-American;29998
Lehigh Acres;Florida;34.3;57856;61624;119480;5551;31880;3.55;FL;Asian;1853
Largo;Florida;45.1;38166;42841;81007;8310;10489;2.28;FL;White;73502
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;Black or African-American;15129
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;American Indian and Alaska Native;1359
Indianapolis;Indiana;34.1;410615;437808;848423;42186;72456;2.53;IN;Hispanic or Latino;83426
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;Hispanic or Latino;13606
Port Saint Lucie;Florida;42.1;84069;95341;179410;12416;34003;2.91;FL;Black or African-American;32986
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;White;65629
Town 'n' Country;Florida;38.1;39410;39586;78996;4534;22135;2.61;FL;White;64441
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;Black or African-American;6401
Fargo;North Dakota;30.7;60560;58690;119250;6154;9428;2.18;ND;American Indian and Alaska Native;3102
Atascocita;Texas;32.8;37424;40816;78240;4416;8657;3.03;TX;Asian;2441
Mesquite;Texas;34.6;69240;75884;145124;6438;26755;2.96;TX;Asian;4496
Midland;Texas;32.1;66595;66355;132950;5753;17061;2.78;TX;White;115958
Alexandria;Virginia;36.6;74989;78522;153511;10635;44030;2.2;VA;Hispanic or Latino;25573
Alexandria;Virginia;36.6;74989;78522;153511;10635;44030;2.2;VA;White;106215
Alexandria;Virginia;36.6;74989;78522;153511;10635;44030;2.2;VA;Black or African-American;37168
Topeka;Kansas;37.1;60879;66378;127257;9608;6711;2.32;KS;American Indian and Alaska Native;4804
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;Black or African-American;15496
Omaha;Nebraska;34.2;218789;225098;443887;24503;48263;2.47;NE;White;353417
Palm Bay;Florida;40.7;51767;56128;107895;10942;12070;2.82;FL;Hispanic or Latino;16841
Manchester;New Hampshire;37.3;54845;55378;110223;5473;14506;2.4;NH;Asian;4304
Olathe;Kansas;33.0;65046;69270;134316;6042;11913;2.97;KS;Black or African-American;9518
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;Black or African-American;10904
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;White;43004
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;Asian;9273
Chicago;Illinois;34.2;1320015;1400541;2720556;72042;573463;2.53;IL;Black or African-American;873316
Charleston;South Carolina;35.0;63956;71568;135524;9368;5767;2.4;SC;Hispanic or Latino;3929
Charleston;South Carolina;35.0;63956;71568;135524;9368;5767;2.4;SC;White;104016
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;Black or African-American;2234
Hollywood;Florida;41.4;75358;74363;149721;6056;55158;2.65;FL;Black or African-American;34916
Gastonia;North Carolina;36.9;35527;39023;74550;3537;5715;2.67;NC;Black or African-American;22179
Knoxville;Tennessee;33.1;89978;95334;185312;10897;10285;2.21;TN;Black or African-American;35049
Westland;Michigan;39.9;37742;44253;81995;4756;6429;2.41;MI;Black or African-American;16422
Orlando;Florida;33.1;130940;139977;270917;12782;50558;2.42;FL;White;179121
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;White;28775
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;Asian;8673
Yuma;Arizona;33.4;48298;45847;94145;7182;19326;2.64;AZ;White;69691
Roanoke;Virginia;36.9;47252;52645;99897;6567;7346;2.35;VA;American Indian and Alaska Native;594
Redlands;California;36.2;33993;37035;71028;3445;8681;2.82;CA;Black or African-American;6973
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;Hispanic or Latino;40111
Wyoming;Michigan;32.8;35967;39310;75277;3447;8612;2.65;MI;White;58989
Lawton;Oklahoma;31.1;51099;45560;96659;11572;6123;2.72;OK;Hispanic or Latino;13780
Reading;Pennsylvania;29.4;43668;44205;87873;2580;17043;2.95;PA;Black or African-American;20821
Reading;Pennsylvania;29.4;43668;44205;87873;2580;17043;2.95;PA;American Indian and Alaska Native;9671
Victoria;Texas;35.8;32290;35291;67581;5000;4480;2.7;TX;Black or African-American;6058
Provo;Utah;23.6;56231;59027;115258;2177;10925;3.28;UT;Hispanic or Latino;16668
Rialto;California;31.6;49902;53235;103137;2036;32741;3.83;CA;White;74551
Rialto;California;31.6;49902;53235;103137;2036;32741;3.83;CA;Black or African-American;11800
Pomona;California;32.1;74945;78307;153252;3251;53879;3.63;CA;American Indian and Alaska Native;3866
Warner Robins;Georgia;31.4;35093;38909;74002;6974;3210;2.5;GA;White;42306
Pleasanton;California;41.3;36662;42857;79519;2424;23208;2.87;CA;Hispanic or Latino;7949
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;Asian;2954
Cedar Park;Texas;34.4;31248;33589;64837;3090;5207;3.05;TX;American Indian and Alaska Native;219
East Los Angeles;California;32.6;60460;59206;119666;1101;49575;3.75;CA;Hispanic or Latino;116211
Montgomery;Alabama;35.4;94582;106004;200586;14955;9337;2.41;AL;Hispanic or Latino;6648
Port Saint Lucie;Florida;42.1;84069;95341;179410;12416;34003;2.91;FL;White;135049
Brandon;Florida;36.1;55679;58289;113968;9417;16390;2.64;FL;American Indian and Alaska Native;1921
New Britain;Connecticut;33.4;37350;35459;72809;2219;15080;2.52;CT;Hispanic or Latino;30188
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;White;150568
Simi Valley;California;39.0;63243;63523;126766;6063;23260;3.13;CA;American Indian and Alaska Native;2474
Jacksonville;North Carolina;24.2;40015;27348;67363;8252;3732;2.51;NC;Asian;4204
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;Hispanic or Latino;6832
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;American Indian and Alaska Native;507
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;Hispanic or Latino;77523
Roswell;Georgia;38.8;48637;45859;94496;3325;16501;2.7;GA;White;69857
Topeka;Kansas;37.1;60879;66378;127257;9608;6711;2.32;KS;Black or African-American;15030
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;Black or African-American;1600
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;White;68293
Warren;Michigan;43.2;64063;71293;135356;7806;18822;2.45;MI;White;96357
Troy;Michigan;43.3;42371;40905;83276;2975;21004;2.59;MI;Black or African-American;5294
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;Hispanic or Latino;3896
Davenport;Iowa;35.2;50123;52454;102577;7090;4065;2.39;IA;White;88145
Davenport;Iowa;35.2;50123;52454;102577;7090;4065;2.39;IA;Asian;3071
Arden-Arcade;California;41.5;47596;48680;96276;6511;13458;2.18;CA;Black or African-American;13647
Largo;Florida;45.1;38166;42841;81007;8310;10489;2.28;FL;Black or African-American;5860
Austin;Texas;32.7;475718;456122;931840;37414;181686;2.5;TX;White;708171
Concord;California;39.6;62310;66358;128668;6287;37428;2.72;CA;Asian;17453
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;Hispanic or Latino;23061
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;White;67294
Thornton;Colorado;33.1;65482;67977;133459;7261;17949;2.97;CO;Hispanic or Latino;49241
Dearborn;Michigan;33.5;46482;48698;95180;3163;23920;3.04;MI;American Indian and Alaska Native;713
Cranston;Rhode Island;39.9;38365;42712;81077;4702;10631;2.56;RI;Black or African-American;8193
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;Black or African-American;11915
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;American Indian and Alaska Native;1264
Gary;Indiana;38.1;35876;41478;77354;3952;1884;2.35;IN;White;13498
San Buenaventura;California;37.7;53932;55785;109717;5980;18025;2.68;CA;Asian;6547
Palm Coast;Florida;48.8;39489;42632;82121;7950;9084;2.76;FL;Asian;2479
Hialeah;Florida;43.0;111530;125552;237082;1844;170148;3.31;FL;White;219991
Scottsdale;Arizona;46.9;115712;121132;236844;16798;27207;2.17;AZ;Hispanic or Latino;24766
Fresno;California;30.0;256130;263942;520072;18410;103453;3.12;CA;White;325651
Clifton;New Jersey;38.5;41932;44409;86341;2603;27979;3.11;NJ;Black or African-American;8743
Denver;Colorado;34.1;341137;341408;682545;29363;113222;2.33;CO;American Indian and Alaska Native;14008
Roanoke;Virginia;36.9;47252;52645;99897;6567;7346;2.35;VA;White;68761
Bellflower;California;33.4;38936;39498;78434;2154;24607;3.58;CA;American Indian and Alaska Native;783
Broomfield;Colorado;36.8;31755;33310;65065;3966;5316;2.53;CO;American Indian and Alaska Native;601
Joliet;Illinois;33.1;70863;79162;150025;7353;22409;3.13;IL;American Indian and Alaska Native;523
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;Hispanic or Latino;160697
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;Hispanic or Latino;29790
Pomona;California;32.1;74945;78307;153252;3251;53879;3.63;CA;Black or African-American;10774
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;Hispanic or Latino;3461
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;Black or African-American;89996
Glendale;California;42.1;98181;102844;201025;4448;111510;2.69;CA;Black or African-American;4619
Carson;California;40.4;43790;49506;93296;4273;33860;3.7;CA;Black or African-American;19947
San Marcos;California;35.4;45246;47688;92934;5189;21558;3.13;CA;American Indian and Alaska Native;821
Portland;Oregon;36.7;313516;318671;632187;29940;86041;2.43;OR;American Indian and Alaska Native;15314
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;American Indian and Alaska Native;3964
San Francisco;California;38.3;439752;425064;864816;26276;297199;2.37;CA;Hispanic or Latino;132114
Auburn;Washington;37.1;36837;39743;76580;5401;14842;2.73;WA;White;58293
Camarillo;California;40.8;31941;35682;67623;4384;9735;2.77;CA;American Indian and Alaska Native;742
Centreville;Virginia;36.0;34749;37033;71782;3779;27797;2.97;VA;American Indian and Alaska Native;355
Santa Clarita;California;38.1;90192;92175;182367;8537;40666;3.02;CA;Hispanic or Latino;56944
Santa Clarita;California;38.1;90192;92175;182367;8537;40666;3.02;CA;White;144949
Santa Clarita;California;38.1;90192;92175;182367;8537;40666;3.02;CA;American Indian and Alaska Native;4441
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;Asian;2202
San Clemente;California;45.2;34076;31456;65532;3970;8109;2.64;CA;Asian;4296
Skokie;Illinois;43.4;31382;33437;64819;1066;27424;2.78;IL;Hispanic or Latino;6590
Billings;Montana;36.3;52705;57565;110270;9121;3206;2.4;MT;Hispanic or Latino;7526
West Jordan;Utah;30.8;57898;54044;111942;3577;11492;3.46;UT;White;100150
Orange;California;35.0;67337;73658;140995;3993;34550;3.14;CA;Asian;22457
Downey;California;37.3;53006;61205;114211;2281;39977;3.45;CA;American Indian and Alaska Native;535
Redwood City;California;37.1;42676;42624;85300;2430;27652;2.64;CA;Black or African-American;2758
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Black or African-American;18191
Grand Prairie;Texas;33.1;90811;96944;187755;7073;44888;3.18;TX;White;113981
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;Black or African-American;8304
Waukesha;Wisconsin;35.8;36263;35713;71976;3116;4982;2.35;WI;Hispanic or Latino;9713
Waterloo;Iowa;37.2;34488;33969;68457;4800;5082;2.42;IA;White;51252
Kissimmee;Florida;36.7;33283;35869;69152;2449;16879;3.01;FL;White;51123
North Las Vegas;Nevada;32.2;116350;118443;234793;17256;49815;3.31;NV;Hispanic or Latino;94804
West Covina;California;39.8;51629;56860;108489;3800;37038;3.56;CA;Hispanic or Latino;58907
Salinas;California;30.4;77765;79621;157386;4020;58693;3.72;CA;Black or African-American;3391
Schenectady;New York;36.7;32398;32901;65299;3388;10961;2.82;NY;White;40278
Paradise;Nevada;37.2;122784;114162;236946;14112;66712;2.65;NV;Black or African-American;25091
Evansville;Indiana;38.0;57198;60481;117679;9063;3169;2.25;IN;Asian;1376
Hillsboro;Oregon;35.3;50926;51434;102360;6625;19531;2.68;OR;American Indian and Alaska Native;4524
Wichita;Kansas;34.6;192354;197601;389955;23978;40270;2.56;KS;Asian;25210
Fort Myers;Florida;37.3;36850;37165;74015;4312;15365;2.45;FL;Hispanic or Latino;17866
Pittsburgh;Pennsylvania;32.9;149690;154695;304385;17728;28187;2.13;PA;American Indian and Alaska Native;2689
The Woodlands;Texas;38.8;56083;63061;119144;8351;21188;2.93;TX;Asian;8828
Longview;Texas;36.8;40065;41525;81590;5512;8782;2.55;TX;Black or African-American;19904
Upland;California;39.7;36226;40221;76447;2898;16552;2.77;CA;Black or African-American;5717
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;White;297038
Memphis;Tennessee;34.1;312237;343523;655760;31189;43318;2.55;TN;White;202961
Racine;Wisconsin;33.7;39314;38423;77737;4650;4403;2.56;WI;Black or African-American;20014
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;Hispanic or Latino;14973
Toledo;Ohio;36.1;135455;144323;279778;15286;9257;2.29;OH;Hispanic or Latino;23614
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;Black or African-American;2925
Shawnee;Kansas;40.1;32313;32745;65058;3575;4136;2.64;KS;White;55883
Homestead;Florida;31.4;31401;35099;66500;2287;24408;3.48;FL;Hispanic or Latino;41910
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;Asian;25140
North Charleston;South Carolina;30.7;56549;55315;111864;9651;8789;2.82;SC;Hispanic or Latino;12975
Yorba Linda;California;45.5;31960;36006;67966;3171;15532;3.0;CA;White;49980
Yorba Linda;California;45.5;31960;36006;67966;3171;15532;3.0;CA;Asian;17616
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;Asian;24624
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;American Indian and Alaska Native;2449
Redwood City;California;37.1;42676;42624;85300;2430;27652;2.64;CA;Asian;14873
Sunrise Manor;Nevada;32.5;93505;99103;192608;10663;56530;3.25;NV;American Indian and Alaska Native;3962
Grand Prairie;Texas;33.1;90811;96944;187755;7073;44888;3.18;TX;Asian;11446
Lubbock;Texas;29.2;122320;126731;249051;10588;14226;2.61;TX;American Indian and Alaska Native;7627
Kent;Washington;33.4;61825;65137;126962;7985;38175;3.06;WA;American Indian and Alaska Native;3651
Waukesha;Wisconsin;35.8;36263;35713;71976;3116;4982;2.35;WI;American Indian and Alaska Native;481
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;White;77525
Kissimmee;Florida;36.7;33283;35869;69152;2449;16879;3.01;FL;Asian;2634
North Las Vegas;Nevada;32.2;116350;118443;234793;17256;49815;3.31;NV;Black or African-American;54093
Kirkland;Washington;40.8;42159;45108;87267;5156;18570;2.3;WA;Asian;15277
San Mateo;California;39.3;50966;52558;103524;2730;34957;2.64;CA;Black or African-American;2880
Garden Grove;California;37.8;86779;88605;175384;4316;80677;3.66;CA;White;66782
Baton Rouge;Louisiana;31.2;111492;117104;228596;10633;12268;2.52;LA;American Indian and Alaska Native;1119
Wichita;Kansas;34.6;192354;197601;389955;23978;40270;2.56;KS;Black or African-American;52592
Dale City;Virginia;33.4;35984;35415;71399;6085;22306;3.65;VA;White;34640
Longview;Texas;36.8;40065;41525;81590;5512;8782;2.55;TX;White;60997
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;Hispanic or Latino;19582
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;Black or African-American;11255
Chattanooga;Tennessee;36.6;83640;92957;176597;10001;10599;2.4;TN;White;114140
Memphis;Tennessee;34.1;312237;343523;655760;31189;43318;2.55;TN;American Indian and Alaska Native;4127
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.28;AR;Asian;4707
Santa Rosa;California;37.9;86840;88149;174989;9101;33015;2.7;CA;Hispanic or Latino;54578
Sparks;Nevada;36.1;47780;48318;96098;7315;15690;2.63;NV;American Indian and Alaska Native;2019
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;Black or African-American;109722
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;American Indian and Alaska Native;4902
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;Black or African-American;725
Paterson;New Jersey;34.0;70640;77117;147757;1694;49810;3.37;NJ;Asian;9653
Paterson;New Jersey;34.0;70640;77117;147757;1694;49810;3.37;NJ;American Indian and Alaska Native;1083
Beaverton;Oregon;35.6;47325;49252;96577;4645;18933;2.46;OR;American Indian and Alaska Native;905
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;White;57480
Cedar Rapids;Iowa;36.2;63109;67296;130405;7823;5404;2.32;IA;Black or African-American;11921
Edmond;Oklahoma;32.5;45191;44899;90090;5006;5585;2.68;OK;Asian;5349
Sacramento;California;33.7;237724;252991;490715;19698;112579;2.73;CA;White;268151
Detroit;Michigan;34.8;319265;357859;677124;29511;39861;2.6;MI;Black or African-American;545988
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;Hispanic or Latino;67523
